58,,,8,45.779454,4.891497,"Rue du Professeur Bouvier, Angle Rue Du 8 Mai 1945",,,10039,"Bouvier / 8 mai 1945","bouvier 8 mai 1945"
59,,,8,45.752977,4.898862,"41 rouet de Genas,  ",,,10041,Kimmerling,kimmerling
60,,,8,45.783016,4.890582,"Rue 1945/05/08,  ",,,10043,"Salengro / 8 mai 1945","salengro 8 mai 1945"
61,,,8,45.770751,4.86715,"Rue des Charmettes, Angle Cours Emile Zola",,,10046,"Charmettes / Zola","charmettes zola"
62,,,8,45.771177,4.884994,"Avenue du Cdt Lherminier, Angle Rue De Pressensé",,,10047,"Pressensé / Bienvenus","pressense bienvenus"
63,,,8,45.759248,4.875885,"Place Marengo,  ",,,10048,"Place Marengo","place marengo"
64,,,8,45.769185,4.89672,"294, Rue Francis de Préssensé,  ",,,10049,"Préssensé / 8 mai 1945","pressense 8 mai 1945"
65,,,8,45.766087,4.83279,"Place Meissonier, Angle Sud-Est De La Place",,,1005,Meissonier,meissonier
66,,,8,45.779413,4.862899,"29, Boulevard du 11 Novembre 1918,  ",,,10053,"Rossellini / 11 Novembre","rossellini 11 novembre"
67,,,8,45.77671,4.85952,"Rue meliès,  ",,,10054,"Stalingrad / Meliès","stalingrad melies"
68,,,8,45.776458,4.867111,"Avenue Galline, Angle Avenue De Condorcet",,,10055,"Condorcet / Galline","condorcet galline"
69,,,8,45.779117,4.871949,"Avenue du 11 novembre 1918, Angle Avenue Gaston Berger",,,10056,"11 novembre / Gaston Berger","11 novembre gaston berger"
70,,,8,45.767131,4.892147,"Cours Emile Zola,  ",,,10058,"Métro Flachet","metro flachet"
71,,,8,45.768881,4.884238,"Anatole France, Angle Zola / France / Lherminier",,,10059,"Anatole France / Lherminier","anatole france lherminier"
72,,,8,45.7679,4.819813,"14 Quai Saint Vincent,  ",,,1006,Subsistances,subsistances
73,,,8,45.758793,4.878972,"Avenue Antoine de Saint-Exupéry fac, Entre Rue Richelieu Et Rue Florian",,,10060,"Saint Exupéry","saint exupery"
74,,,8,45.770788,4.872956,"105, Cours Emile Zola,  ",,,10061,"métro République","metro republique"
75,,,8,45.758366,4.885494,"Face au N° 9 Rue Jean Jaures,  ",,,10063,"Perrin/Jean Jaurès","perrin jean jaures"
76,,,8,45.764826,4.884315,"Rue du 4 août 1789, Angle Rue Rollet / Blanqui",,,10064,"Rollet / 4 ao¹t 1789 / Blanqui","rollet 4 ao t 1789 blanqui"
77,,,8,45.752282,4.901418,"Rue de cyprian,  ",,,10070,"Genas / Cyprian","genas cyprian"
78,,,8,45.761564,4.896451,"64 Bd Eugène Réguillon,  ",,,10071,"Lycée Marie Curie","lycee marie curie"
79,,,8,45.774138,4.864013,"Rue Jacques Brel,  ",,,10072,"Jacques Brel /Chorel","jacques brel chorel"
80,,,8,45.76154,4.872459,"Rue Docteur Dolard, Angle Rue 4 Septembre",,,10073,"Nouveau Musée D'Art Contemporain","nouveau musee d art contemporain"
81,,,8,45.770053,4.876945,"Cours E. Zola, Angle Passage Rey",,,10074,"Zola / Passage Rey","zola passage rey"
82,,,8,45.772304,4.865696,"Rue Gabriel Péri, Angle Cours André Philip",,,10075,"Charmettes / Péri / Philip","charmettes peri philip"
